Order ID,Date,Customer ID,Product ID,Quantity,Total Price,Profit
764380,2024-01-01,25,6,3,1873.53,526.21
879729,2024-01-01,46,18,5,10431.5,1295.49
134106,2024-01-01,22,1,3,6253.98,737.54
926818,2024-01-01,93,20,2,889.48,266.11
141647,2024-01-01,13,12,5,10995.65,3273.33
571812,2024-01-01,92,4,5,9018.55,2447.43
479157,2024-01-01,69,6,3,1873.53,228.17
353115,2024-01-01,45,1,3,6253.98,1356.92
204009,2024-01-02,32,17,2,2412.92,276.47
587426,2024-01-02,25,9,5,10553.45,2994.03
927023,2024-01-02,4,11,4,8167.12,1331.77
642883,2024-01-02,50,1,2,4169.32,1150.74
793560,2024-01-02,95,9,3,6332.07,906.42
460400,2024-01-03,15,13,1,925.69,225.95
867284,2024-01-03,49,20,3,1334.22,203.98
281757,2024-01-03,18,11,1,2041.78,596.19
289073,2024-01-03,28,14,5,10243.8,1931.89
764341,2024-01-03,40,2,2,5896.34,1318.84
439762,2024-01-04,36,3,5,1746.1,181.82
603523,2024-01-04,2,17,5,6032.3,1564.53
797750,2024-01-04,65,9,1,2110.69,231.84
319025,2024-01-04,13,6,2,1249.02,357.28
299380,2024-01-04,78,3,2,698.44,127.56
764948,2024-01-04,95,5,3,1849.23,242.19
411401,2024-01-04,51,19,1,885.96,170.15
953721,2024-01-04,43,3,1,349.22,73.21
314811,2024-01-05,68,10,3,1833.99,256.81
115441,2024-01-05,87,16,4,8137.64,2273.11
517740,2024-01-05,77,3,3,1047.66,312.62
977364,2024-01-05,87,4,1,1803.71,292.84
425375,2024-01-05,60,1,3,6253.98,844.32
291992,2024-01-05,24,3,3,1047.66,312.71
861249,2024-01-05,96,6,3,1873.53,289.45
105038,2024-01-05,27,5,2,1232.82,267.22
893973,2024-01-05,24,19,4,3543.84,769.19
700789,2024-01-06,11,10,1,611.33,75.56
106491,2024-01-06,3,19,4,3543.84,759.78
941868,2024-01-06,47,16,2,4068.82,516.42
516515,2024-01-06,62,20,1,444.74,118.89
413662,2024-01-07,48,17,3,3619.38,569.75
667606,2024-01-07,75,8,5,2296.9,460.51
743377,2024-01-07,68,12,2,4398.26,910.23
422038,2024-01-07,48,13,2,1851.38,219.37
797720,2024-01-07,56,8,1,459.38,112.38
934109,2024-01-07,27,15,1,1736.19,352.18
342395,2024-01-07,39,5,4,2465.64,702.0
488123,2024-01-07,62,9,2,4221.38,1020.13
639530,2024-01-07,55,20,3,1334.22,169.15
271744,2024-01-07,98,20,3,1334.22,278.78
724217,2024-01-08,85,8,4,1837.52,250.87
280009,2024-01-08,99,15,1,1736.19,309.64
644578,2024-01-08,98,14,4,8195.04,1056.72
472472,2024-01-08,13,20,3,1334.22,285.84
293137,2024-01-08,62,3,4,1396.88,246.49
974037,2024-01-08,34,14,1,2048.76,563.11
107661,2024-01-08,100,18,4,8345.2,2423.48
160505,2024-01-09,5,19,4,3543.84,577.91
877890,2024-01-09,30,4,1,1803.71,312.09
133469,2024-01-09,5,9,1,2110.69,481.02
915344,2024-01-09,75,20,5,2223.7,514.6
934974,2024-01-09,74,17,1,1206.46,253.06
921578,2024-01-10,47,2,5,14740.85,3454.87
418017,2024-01-10,82,13,5,4628.45,1051.88
224087,2024-01-10,23,20,2,889.48,154.46
687034,2024-01-10,48,11,2,4083.56,777.64
346406,2024-01-10,37,9,1,2110.69,226.26
355285,2024-01-10,41,1,4,8338.64,1690.79
948296,2024-01-10,13,11,1,2041.78,597.13
918971,2024-01-10,70,10,3,1833.99,267.03
147540,2024-01-10,91,15,2,3472.38,509.26
104117,2024-01-11,61,18,2,4172.6,652.11
114201,2024-01-11,80,6,1,624.51,182.57
976399,2024-01-11,61,15,3,5208.57,692.06
630175,2024-01-11,83,12,3,6597.39,679.7
119136,2024-01-11,49,14,2,4097.52,1049.49
875708,2024-01-11,53,17,5,6032.3,686.36
433154,2024-01-11,64,8,1,459.38,75.27
211134,2024-01-11,40,13,4,3702.76,498.79
534170,2024-01-12,86,11,1,2041.78,392.67
679360,2024-01-12,36,2,3,8844.51,1290.63
937510,2024-01-12,56,14,2,4097.52,1066.96
543098,2024-01-12,29,14,1,2048.76,253.43
979385,2024-01-12,51,20,5,2223.7,443.39
917221,2024-01-12,65,2,2,5896.34,1110.96
798582,2024-01-12,90,11,3,6125.34,955.3
534036,2024-01-12,57,15,1,1736.19,399.22
938365,2024-01-12,68,8,5,2296.9,622.4
843376,2024-01-13,85,8,3,1378.14,256.52
522530,2024-01-13,10,17,5,6032.3,1432.14
479978,2024-01-13,95,7,1,2307.92,596.63
704036,2024-01-13,66,19,2,1771.92,400.38
532388,2024-01-13,67,12,1,2199.13,259.74
214140,2024-01-14,41,8,4,1837.52,249.75
980761,2024-01-14,29,3,2,698.44,76.73
476677,2024-01-14,45,15,5,8680.95,1459.56
434912,2024-01-14,51,15,1,1736.19,419.33
115916,2024-01-14,15,4,5,9018.55,905.23
621586,2024-01-14,34,7,4,9231.68,1344.13
598670,2024-01-14,17,5,4,2465.64,578.29
182156,2024-01-15,55,9,3,6332.07,1042.37
698780,2024-01-15,1,7,4,9231.68,1535.4
729490,2024-01-15,90,8,4,1837.52,326.59
984063,2024-01-15,49,15,5,8680.95,2013.49
405537,2024-01-15,5,2,4,11792.68,2633.41
718649,2024-01-15,92,13,3,2777.07,671.97
336032,2024-01-15,1,18,4,8345.2,2310.87
610864,2024-01-15,98,1,3,6253.98,1817.4
873828,2024-01-15,18,11,5,10208.9,2532.56
640175,2024-01-15,81,16,4,8137.64,2090.15
938876,2024-01-16,96,16,4,8137.64,1744.11
254332,2024-01-16,34,16,1,2034.41,218.84
983031,2024-01-16,35,9,5,10553.45,1362.22
893130,2024-01-16,4,19,4,3543.84,1039.04
870670,2024-01-16,28,6,5,3122.55,850.33
880247,2024-01-16,57,10,3,1833.99,194.18
111126,2024-01-16,67,1,1,2084.66,277.04
890501,2024-01-17,62,12,4,8796.52,2220.85
769644,2024-01-17,27,14,1,2048.76,437.59
837502,2024-01-17,93,6,5,3122.55,320.94
165446,2024-01-17,24,12,3,6597.39,1945.97
175813,2024-01-17,18,17,1,1206.46,262.64
340215,2024-01-17,45,20,3,1334.22,273.7
180590,2024-01-17,22,10,1,611.33,90.84
258683,2024-01-17,55,8,2,918.76,255.78
756457,2024-01-17,46,2,1,2948.17,841.85
820492,2024-01-18,58,17,4,4825.84,1007.63
603471,2024-01-18,80,18,3,6258.9,761.66
742824,2024-01-18,55,1,3,6253.98,746.13
560047,2024-01-18,13,11,1,2041.78,317.19
273325,2024-01-19,32,8,2,918.76,227.53
828689,2024-01-19,26,17,1,1206.46,259.93
157988,2024-01-19,70,18,1,2086.3,532.37
315339,2024-01-19,22,14,4,8195.04,2422.95
980247,2024-01-19,65,14,1,2048.76,363.55
966667,2024-01-19,27,10,4,2445.32,581.09
930790,2024-01-19,17,5,1,616.41,108.32
976481,2024-01-20,94,18,3,6258.9,1863.99
810295,2024-01-20,2,8,3,1378.14,250.03
758970,2024-01-20,98,3,5,1746.1,284.44
318355,2024-01-20,64,12,3,6597.39,1226.51
612495,2024-01-20,19,12,3,6597.39,1945.97
860433,2024-01-20,49,15,3,5208.57,1035.6
925896,2024-01-20,75,16,2,4068.82,527.03
628698,2024-01-21,98,16,2,4068.82,931.7
141224,2024-01-21,20,1,2,4169.32,888.07
855039,2024-01-21,55,12,3,6597.39,1756.49
195071,2024-01-21,86,2,4,11792.68,2658.47
401912,2024-01-21,62,7,4,9231.68,1796.32
182694,2024-01-21,85,15,3,5208.57,1197.34
537039,2024-01-21,86,19,2,1771.92,188.66
547959,2024-01-21,8,16,3,6103.23,979.23
336816,2024-01-22,96,8,1,459.38,67.9
564600,2024-01-22,94,11,4,8167.12,1542.13
675326,2024-01-22,65,18,1,2086.3,243.7
655474,2024-01-22,32,17,4,4825.84,677.3
236183,2024-01-22,30,5,3,1849.23,478.83
795066,2024-01-22,64,20,2,889.48,173.53
787500,2024-01-23,42,12,5,10995.65,1119.05
178040,2024-01-23,29,16,3,6103.23,1317.69
877695,2024-01-23,12,2,5,14740.85,2670.43
526253,2024-01-23,67,3,4,1396.88,230.99
357303,2024-01-24,12,7,5,11539.6,3216.59
207284,2024-01-24,97,20,4,1778.96,224.42
486151,2024-01-24,89,12,2,4398.26,893.94
911673,2024-01-25,57,10,4,2445.32,639.39
715361,2024-01-25,46,17,3,3619.38,971.13
938763,2024-01-25,88,14,2,4097.52,766.68
123310,2024-01-25,43,11,5,10208.9,2949.15
744532,2024-01-25,1,12,3,6597.39,1345.67
728524,2024-01-25,38,12,3,6597.39,1633.22
684068,2024-01-25,73,17,2,2412.92,270.89
285339,2024-01-25,67,5,4,2465.64,459.12
553194,2024-01-25,21,1,1,2084.66,420.71
994826,2024-01-26,48,17,5,6032.3,1208.71
509566,2024-01-26,70,12,1,2199.13,582.47
975316,2024-01-26,20,7,5,11539.6,2208.14
164788,2024-01-26,49,6,3,1873.53,194.35
116118,2024-01-26,11,6,2,1249.02,268.63
779667,2024-01-26,9,10,5,3056.65,528.84
699542,2024-01-26,16,20,3,1334.22,141.78
460599,2024-01-27,28,12,5,10995.65,1434.36
278785,2024-01-27,58,9,5,10553.45,2489.42
433702,2024-01-27,77,11,1,2041.78,232.46
373553,2024-01-28,49,2,3,8844.51,1327.21
702376,2024-01-28,83,1,3,6253.98,1450.61
929344,2024-01-28,49,20,1,444.74,97.92
207423,2024-01-28,56,12,4,8796.52,1332.68
932154,2024-01-28,33,14,2,4097.52,1130.92
387550,2024-01-28,95,10,1,611.33,175.43
276745,2024-01-28,39,9,2,4221.38,591.47
856016,2024-01-28,10,3,1,349.22,95.53
271676,2024-01-29,33,6,1,624.51,86.18
239817,2024-01-29,12,11,5,10208.9,1244.96
240759,2024-01-29,93,16,2,4068.82,895.08
707740,2024-01-29,13,4,5,9018.55,2503.88
483837,2024-01-29,77,9,4,8442.76,1826.25
320305,2024-01-29,9,14,2,4097.52,601.14
856956,2024-01-29,40,8,1,459.38,78.33
203017,2024-01-30,39,15,1,1736.19,394.8
646051,2024-01-30,36,13,5,4628.45,829.66
176813,2024-01-30,46,15,1,1736.19,294.73
296734,2024-01-30,75,10,2,1222.66,271.85
661327,2024-01-30,93,4,5,9018.55,2138.2
502231,2024-01-30,89,13,1,925.69,188.31
439859,2024-01-31,67,6,5,3122.55,514.24
646228,2024-01-31,25,17,1,1206.46,257.9
270045,2024-01-31,13,4,5,9018.55,1582.05
182280,2024-01-31,48,13,4,3702.76,538.69
826453,2024-01-31,24,20,1,444.74,65.22
337141,2024-01-31,89,8,5,2296.9,275.94
869272,2024-02-01,100,6,2,1249.02,317.4
816898,2024-02-01,27,8,5,2296.9,682.58
300643,2024-02-01,83,13,4,3702.76,594.51
505944,2024-02-01,34,11,4,8167.12,2396.57
122821,2024-02-01,63,12,1,2199.13,627.83
611811,2024-02-01,72,1,1,2084.66,391.04
362737,2024-02-01,98,13,2,1851.38,353.88
889417,2024-02-01,47,19,1,885.96,183.95
363260,2024-02-02,89,18,5,10431.5,2159.77
870521,2024-02-02,93,15,5,8680.95,1605.74
396069,2024-02-02,30,7,2,4615.84,933.07
547343,2024-02-03,76,10,1,611.33,125.41
241528,2024-02-03,6,15,4,6944.76,922.8
341277,2024-02-03,39,18,3,6258.9,1198.79
262257,2024-02-03,98,10,1,611.33,68.52
397434,2024-02-04,18,20,3,1334.22,154.05
419797,2024-02-04,42,15,3,5208.57,1103.29
681195,2024-02-04,71,15,1,1736.19,400.34
492861,2024-02-04,74,9,4,8442.76,890.83
416930,2024-02-04,54,17,2,2412.92,530.52
407259,2024-02-04,44,17,4,4825.84,988.87
377608,2024-02-04,14,10,5,3056.65,667.41
979359,2024-02-05,86,10,4,2445.32,598.56
183940,2024-02-05,70,10,1,611.33,98.55
999553,2024-02-05,14,6,5,3122.55,693.05
681658,2024-02-05,91,20,2,889.48,196.86
595226,2024-02-05,57,19,5,4429.8,1261.85
963254,2024-02-05,55,18,5,10431.5,2602.92
949804,2024-02-06,35,15,3,5208.57,687.52
795026,2024-02-06,44,13,3,2777.07,477.39
346420,2024-02-06,16,6,5,3122.55,678.6
676326,2024-02-06,21,6,2,1249.02,284.63
